Área geográfica,Grado promedio
Chiapas,7.8
Oaxaca,8.1
Guerrero,8.4
Michoacán de Ocampo,8.6
Veracruz de Ignacio de la Llave,8.7
Guanajuato,9
Puebla,9.2
Zacatecas,9.2
Hidalgo,9.4
Campeche,9.6
San Luis Potosí,9.6
Yucatán,9.6
Durango,9.7
Nayarit,9.7
Tabasco,9.7
Morelos,9.8
Tlaxcala,9.8
Jalisco,9.9
Colima,10
Chihuahua,10
México,10.1
Tamaulipas,10.1
Baja California,10.2
Quintana Roo,10.2
Sinaloa,10.2
Aguascalientes,10.3
Baja California Sur,10.3
Coahuila de Zaragoza,10.4
Sonora,10.4
Querétaro,10.5
Nuevo León,10.7
Ciudad de México,11.5
