id,clave_entidad,Entidad_federativa,Clave_municipio,Municipio,Grupo,poblacion,Carencia de rezago educativo
178,7,Chiapas,7107,Villa Corzo,Población indígena,2865,68.09
188,7,Chiapas,7117,Montecristo de Guerrero,Población indígena,175,66.86
80,7,Chiapas,7008,Ángel Albino Corzo,Población indígena,2374,60.85
74,7,Chiapas,7002,Acala,Población indígena,2702,57.72
159,7,Chiapas,7087,Suchiate,Población indígena,394,57.22
182,7,Chiapas,7111,Zinacantán,Población indígena,45725,56.93
179,7,Chiapas,7108,Villaflores,Población indígena,2941,55.86
100,7,Chiapas,7028,Chiapilla,Población indígena,180,55.43
95,7,Chiapas,7023,Chamula,Población indígena,102760,55.24
166,7,Chiapas,7094,Teopisca,Población indígena,20745,55.22
169,7,Chiapas,7098,Totolapa,Población indígena,620,53.36
154,7,Chiapas,7082,Sitalá,Población indígena,15419,52.64
128,7,Chiapas,7056,Mitontic,Población indígena,13869,52.3
193,7,Chiapas,7122,El Parral,Población indígena,362,52.21
138,7,Chiapas,7066,Pantelhó,Población indígena,25875,51.71
98,7,Chiapas,7026,Chenalhó,Población indígena,47647,51.07
147,7,Chiapas,7075,Las Rosas,Población indígena,4540,50.58
189,7,Chiapas,7118,San Andrés Duraznal,Población indígena,6011,50.55
79,7,Chiapas,7007,Amatenango del Valle,Población indígena,9372,50.43
94,7,Chiapas,7022,Chalchihuitán,Población indígena,22114,49.49
