_id,clave_entidad,entidad_federativa,clave_municipio,Municipio,grupo,Poblacion
131,7,Chiapas,7059,Ocosingo,Población indígena,210294
103,7,Chiapas,7031,Chilón,Población indígena,134720
150,7,Chiapas,7078,San Cristóbal de las Casas,Población indígena,103810
95,7,Chiapas,7023,Chamula,Población indígena,102760
124,7,Chiapas,7052,Las Margaritas,Población indígena,96639
137,7,Chiapas,7065,Palenque,Población indígena,84714
167,7,Chiapas,7096,Tila,Población indígena,75394
149,7,Chiapas,7077,Salto de Agua,Población indígena,61620
136,7,Chiapas,7064,Oxchuc,Población indígena,54804
165,7,Chiapas,7093,Tenejapa,Población indígena,48487
98,7,Chiapas,7026,Chenalhó,Población indígena,47647
153,7,Chiapas,7081,Simojovel,Población indígena,46247
182,7,Chiapas,7111,Zinacantán,Población indígena,45725
177,7,Chiapas,7106,Venustiano Carranza,Población indígena,42249
183,7,Chiapas,7112,San Juan Cancuc,Población indígena,38290
171,7,Chiapas,7100,Tumbalá,Población indígena,38209
180,7,Chiapas,7109,Yajalón,Población indígena,33486
121,7,Chiapas,7049,Larráinzar,Población indígena,31531
172,7,Chiapas,7101,Tuxtla Gutiérrez,Población indígena,30474
148,7,Chiapas,7076,Sabanilla,Población indígena,29163
76,7,Chiapas,7004,Altamirano,Población indígena,26746
138,7,Chiapas,7066,Pantelhó,Población indígena,25875
86,7,Chiapas,7014,El Bosque,Población indígena,24005
119,7,Chiapas,7047,Jitotol,Población indígena,22356
94,7,Chiapas,7022,Chalchihuitán,Población indígena,22114
85,7,Chiapas,7013,Bochil,Población indígena,21709
111,7,Chiapas,7039,Huitiupán,Población indígena,21471
110,7,Chiapas,7038,Huixtán,Población indígena,21397
166,7,Chiapas,7094,Teopisca,Población indígena,20745
133,7,Chiapas,7061,Ocozocoautla de Espinosa,Población indígena,18582
154,7,Chiapas,7082,Sitalá,Población indígena,15419
170,7,Chiapas,7099,La Trinitaria,Población indígena,14299
132,7,Chiapas,7060,Ocotepec,Población indígena,14180
128,7,Chiapas,7056,Mitontic,Población indígena,13869
96,7,Chiapas,7024,Chanal,Población indígena,13806
144,7,Chiapas,7072,Pueblo Nuevo Solistahuacán,Población indígena,12044
91,7,Chiapas,7019,Comitán de Domí­nguez,Población indígena,10702
