Estados,Porcentaje
Chiapas,34
Oaxaca,30.5
Guerrero,28.3
Veracruz de Ignacio de la Llave,26.3
Michoacán de Ocampo,25.7
Puebla,22.7
Guanajuato,21.1
Campeche,20.5
Yucatán,19.7
Jalisco,19.1
San Luis Potosí,18.8
Zacatecas,18.8
Nayarit,18.4
Hidalgo,18
Tabasco,17.9
Durango,17.7
Morelos,17.4
Chihuahua,16.6
Quintana Roo,16
Sinaloa,15.5
Tamaulipas,15.2
Aguascalientes,15
Colima,15
Baja California,14.5
Querétaro,14.5
México,14.4
Tlaxcala,14.3
Sonora,13.7
Baja California Sur,13.4
Coahuila de Zaragoza,13.3
Nuevo León,13.3
Ciudad de México,8.5
